Nome;Telefone;Curso;Nota1;Nota2
João Silva;(555) 987-6543;Engenharia;85;79
Ana Santos;(555) 456-7890;Medicina;92;87
Pedro Almeida;(555) 321-0987;Administração;78;80
Mariana Costa;(555) 890-1234;Pedagogia;89;95
Carlos Oliveira;(555) 234-5678;Psicologia;96;83
Luciana Pereira;(555) 876-5432;Arquitetura;80;86
Gustavo Rodrigues;(555) 345-6789;Economia;75;91
Larissa Lima;(555) 012-3456;Medicina;98;94
Fernando Carvalho;(555) 678-9012;Engenharia;72;77
Camila Gonçalves;(555) 901-2345;Administração;83;88
Rafaela Martins;(555) 567-8901;Pedagogia;90;92
Diego Sousa;(555) 234-5678;Psicologia;87;89
Carolina Oliveira;(555) 890-1234;Economia;86;90
Vinícius Santos;(555) 345-6789;Arquitetura;79;84
Bruna Almeida;(555) 012-3456;Medicina;93;97
Roberto Lima;(555) 678-9012;Engenharia;75;78
Amanda Costa;(555) 901-2345;Administração;82;85
Gabriel Pereira;(555) 567-8901;Pedagogia;91;93
Isabela Rodrigues;(555) 234-5678;Psicologia;88;92
Thiago Oliveira;(555) 890-1234;Economia;76;89
Patrícia Gonçalves;(555) 345-6789;Arquitetura;81;87
Lucas Martins;(555) 012-3456;Medicina;94;96
Bianca Sousa;(555) 678-9012;Engenharia;74;76
Rafael Costa;(555) 901-2345;Administração;84;86
Lúcia Santos;(555) 567-8901;Pedagogia;92;94
Marcos Rodrigues;(555) 234-5678;Psicologia;89;91
Natália Oliveira;(555) 890-1234;Economia;77;88
Juliana Gonçalves;(555) 345-6789;Arquitetura;82;86
Roberto Silva;(555) 012-3456;Medicina;95;98
Renata Almeida;(555) 678-9012;Engenharia;73;75
Fabiana Costa;(555) 901-2345;Administração;81;84
